model_id,algorithm_id,mean_test_accuracy,mean_test_precision_micro,mean_test_precision_macro,mean_test_precision_weighted,mean_test_recall_micro,mean_test_recall_macro,mean_test_recall_weighted,mean_test_roc_auc_ovo_weighted,geometric_mean_score_micro,geometric_mean_score_macro,geometric_mean_score_weighted,matthews_corrcoef,f5_micro,f5_macro,f5_weighted,f1_micro,f1_macro,f1_weighted,f2_micro,f2_macro,f2_weighted,log_loss
2843,10,0.9007159905,0.9007159905,0.7359393657,0.8951799356,0.9007159905,0.7058121212,0.9007159905,0.8415939394,0.9422434368,0.8072484848,0.7958809454,0.6705350249,0.9422434368,0.8518245102,0.9389581561,0.9422434368,0.8331599084,0.9397320686,0.9422434368,0.8169180519,0.941073153,0.9989439443
2844,10,0.9011933174,0.9011933174,0.7373794133,0.8955067503,0.9011933174,0.7060787879,0.9011933174,0.8384666667,0.9431980907,0.8077818182,0.7963503619,0.6750884303,0.9431980907,0.8551141378,0.9398397812,0.9431980907,0.8351821257,0.9405868557,0.9431980907,0.8179686115,0.9419693223,0.9950044459
2845,10,0.9011933174,0.9011933174,0.738234233,0.8956789423,0.9011933174,0.7060787879,0.9011933174,0.8368060606,0.9417661098,0.8049757576,0.7932681576,0.6672470297,0.9417661098,0.8505408406,0.9383697065,0.9417661098,0.8314050132,0.9391617181,0.9417661098,0.8148190363,0.9405505783,0.9967801895
2846,10,0.9021479714,0.9021479714,0.7413766882,0.8971167513,0.9021479714,0.7106242424,0.9021479714,0.8321272727,0.9412887828,0.8027030303,0.7906491915,0.6639486204,0.9412887828,0.8492480935,0.9377796179,0.9412887828,0.8296420291,0.9385897752,0.9412887828,0.8127161651,0.9400272111,0.9981952281
2847,10,0.9011933174,0.9011933174,0.7941482313,0.8831655739,0.9011933174,0.5616424242,0.9011933174,0.9069818182,0.9054892601,0.5720666667,0.4648544345,0.3081535949,0.9054892601,0.6706807884,0.8713458822,0.9054892601,0.5997834947,0.8761041074,0.9054892601,0.5771927397,0.8920940619,0.0
2848,10,0.9016706444,0.9016706444,0.798217694,0.8843730755,0.9016706444,0.5639151515,0.9016706444,0.9065090909,0.9054892601,0.5720666667,0.4648544345,0.3081535949,0.9054892601,0.6706807884,0.8713458822,0.9054892601,0.5997834947,0.8761041074,0.9054892601,0.5771927397,0.8920940619,1.91296e-05
2849,10,0.9011933174,0.9011933174,0.7941482313,0.8831655739,0.9011933174,0.5616424242,0.9011933174,0.9065090909,0.9054892601,0.5720666667,0.4648544345,0.3081535949,0.9054892601,0.6706807884,0.8713458822,0.9054892601,0.5997834947,0.8761041074,0.9054892601,0.5771927397,0.8920940619,3.79614e-05
2850,10,0.9011933174,0.9011933174,0.7941482313,0.8831655739,0.9011933174,0.5616424242,0.9011933174,0.9065090909,0.9054892601,0.5720666667,0.4648544345,0.3081535949,0.9054892601,0.6706807884,0.8713458822,0.9054892601,0.5997834947,0.8761041074,0.9054892601,0.5771927397,0.8920940619,5.61909e-05
2851,10,0.9016706444,0.9016706444,0.8038924107,0.8852467754,0.9016706444,0.5619090909,0.9016706444,0.9065090909,0.9054892601,0.5720666667,0.4648544345,0.3081535949,0.9054892601,0.6706807884,0.8713458822,0.9054892601,0.5997834947,0.8761041074,0.9054892601,0.5771927397,0.8920940619,7.36155e-05
2852,10,0.9021479714,0.9021479714,0.8079618733,0.886454277,0.9021479714,0.5641818182,0.9021479714,0.9069515152,0.9031026253,0.5526787879,0.4273838752,0.2675112509,0.9031026253,0.6353800102,0.8617419842,0.9031026253,0.5698495685,0.8689459942,0.9031026253,0.5541511091,0.8878589326,9.01082e-05
2853,10,0.9021479714,0.9021479714,0.8164142612,0.8879111857,0.9021479714,0.5621757576,0.9021479714,0.9069515152,0.9031026253,0.5526787879,0.4273838752,0.2675112509,0.9031026253,0.6353800102,0.8617419842,0.9031026253,0.5698495685,0.8689459942,0.9031026253,0.5541511091,0.8878589326,0.0001055983
2854,10,0.9021479714,0.9021479714,0.8164142612,0.8879111857,0.9021479714,0.5621757576,0.9021479714,0.9069393939,0.9031026253,0.5526787879,0.4273838752,0.2675112509,0.9031026253,0.6353800102,0.8617419842,0.9031026253,0.5698495685,0.8689459942,0.9031026253,0.5541511091,0.8878589326,0.0001200558
2855,10,0.9021479714,0.9021479714,0.8164142612,0.8879111857,0.9021479714,0.5621757576,0.9021479714,0.9070787879,0.9031026253,0.5526787879,0.4273838752,0.2675112509,0.9031026253,0.6353800102,0.8617419842,0.9031026253,0.5698495685,0.8689459942,0.9031026253,0.5541511091,0.8878589326,0.0029902559
2856,10,0.9021479714,0.9021479714,0.8164142612,0.8879111857,0.9021479714,0.5621757576,0.9021479714,0.9070787879,0.9031026253,0.5526787879,0.4273838752,0.2675112509,0.9031026253,0.6353800102,0.8617419842,0.9031026253,0.5698495685,0.8689459942,0.9031026253,0.5541511091,0.8878589326,0.0029987791
2857,10,0.9021479714,0.9021479714,0.8164142612,0.8879111857,0.9021479714,0.5621757576,0.9021479714,0.9070787879,0.9031026253,0.5526787879,0.4273838752,0.2675112509,0.9031026253,0.6353800102,0.8617419842,0.9031026253,0.5698495685,0.8689459942,0.9031026253,0.5541511091,0.8878589326,0.0058300755
2858,10,0.9021479714,0.9021479714,0.8164142612,0.8879111857,0.9021479714,0.5621757576,0.9021479714,0.9070787879,0.9031026253,0.5526787879,0.4273838752,0.2675112509,0.9031026253,0.6353800102,0.8617419842,0.9031026253,0.5698495685,0.8689459942,0.9031026253,0.5541511091,0.8878589326,0.0058328887
2859,10,0.9021479714,0.9021479714,0.8164142612,0.8879111857,0.9021479714,0.5621757576,0.9021479714,0.9070909091,0.9031026253,0.5526787879,0.4273838752,0.2675112509,0.9031026253,0.6353800102,0.8617419842,0.9031026253,0.5698495685,0.8689459942,0.9031026253,0.5541511091,0.8878589326,0.0086263954
2860,10,0.9021479714,0.9021479714,0.8164142612,0.8879111857,0.9021479714,0.5621757576,0.9021479714,0.9071151515,0.9031026253,0.5526787879,0.4273838752,0.2675112509,0.9031026253,0.6353800102,0.8617419842,0.9031026253,0.5698495685,0.8689459942,0.9031026253,0.5541511091,0.8878589326,0.0086237163
2861,10,0.9026252983,0.9026252983,0.8209825996,0.8889068012,0.9026252983,0.5624424242,0.9026252983,0.9071515152,0.9031026253,0.5526787879,0.4273838752,0.2675112509,0.9031026253,0.6353800102,0.8617419842,0.9031026253,0.5698495685,0.8689459942,0.9031026253,0.5541511091,0.8878589326,0.0113804467
2862,10,0.9021479714,0.9021479714,0.8164142612,0.8879111857,0.9021479714,0.5621757576,0.9021479714,0.9071515152,0.9031026253,0.5526787879,0.4273838752,0.2675112509,0.9031026253,0.6353800102,0.8617419842,0.9031026253,0.5698495685,0.8689459942,0.9031026253,0.5541511091,0.8878589326,0.0113724861
2863,10,0.9026252983,0.9026252983,0.8209825996,0.8889068012,0.9026252983,0.5624424242,0.9026252983,0.9065939394,0.9031026253,0.5526787879,0.4273838752,0.2675112509,0.9031026253,0.6353800102,0.8617419842,0.9031026253,0.5698495685,0.8689459942,0.9031026253,0.5541511091,0.8878589326,0.0140933691
2864,10,0.9026252983,0.9026252983,0.8209825996,0.8889068012,0.9026252983,0.5624424242,0.9026252983,0.9061272727,0.9031026253,0.5526787879,0.4273838752,0.2675112509,0.9031026253,0.6353800102,0.8617419842,0.9031026253,0.5698495685,0.8689459942,0.9031026253,0.5541511091,0.8878589326,0.0140803307
